county,candidate,party,office,district,votes,pct
Clark,George Bush,R,President,,27660,
Clark,Ralph Nader,,President,,1347,
Clark,Pat Buchanan,,President,,221,
Clark,Harry Browne,L,President,,202,
Clark,John Hagelin,N,President,,94,
Clark,Howard Phillips,,President,,51,
Clark,James Harris,,President,,0,
Clermont,George Bush,R,President,,47129,
Clermont,Al Gore,D,President,,20927,
Clermont,Ralph Nader,,President,,1303,
Clermont,Harry Browne,L,President,,225,
Clermont,Pat Buchanan,,President,,178,
Clermont,John Hagelin,N,President,,90,
Clermont,Howard Phillips,,President,,25,
Clermont,James Harris,,President,,0,
Clinton,George Bush,R,President,,9824,
Clinton,Al Gore,D,President,,4791,
Clinton,Ralph Nader,,President,,325,
Clinton,Pat Buchanan,,President,,50,
Clinton,Harry Browne,L,President,,48,
Clinton,John Hagelin,N,President,,16,
Clinton,Howard Phillips,,President,,16,
Clinton,James Harris,,President,,0,
Columbiana,George Bush,R,President,,21804,
Columbiana,Al Gore,D,President,,20657,
Columbiana,Ralph Nader,,President,,1217,
Columbiana,Pat Buchanan,,President,,557,
Columbiana,Harry Browne,L,President,,95,
Columbiana,Howard Phillips,,President,,51,
Columbiana,John Hagelin,N,President,,46,
Columbiana,James Harris,,President,,0,
Coshocton,George Bush,R,President,,8243,
Coshocton,Al Gore,D,President,,5594,
Coshocton,Ralph Nader,,President,,295,
Coshocton,Pat Buchanan,,President,,73,
Coshocton,Harry Browne,L,President,,36,
Coshocton,Howard Phillips,,President,,14,
Coshocton,John Hagelin,N,President,,13,
Coshocton,James Harris,,President,,0,
Crawford,George Bush,R,President,,11666,
Crawford,Al Gore,D,President,,6721,
Crawford,Ralph Nader,,President,,536,
Crawford,Pat Buchanan,,President,,161,
Crawford,Harry Browne,L,President,,44,
Crawford,John Hagelin,N,President,,27,
Crawford,Howard Phillips,,President,,21,
Crawford,James Harris,,President,,0,
Cuyahoga,Al Gore,D,President,,359913,
Cuyahoga,George Bush,R,President,,192099,
Cuyahoga,Ralph Nader,,President,,16956,
Cuyahoga,Pat Buchanan,,President,,3040,
Cuyahoga,Harry Browne,L,President,,1374,
Cuyahoga,John Hagelin,N,President,,868,
Cuyahoga,Howard Phillips,,President,,527,
Cuyahoga,James Harris,,President,,5,
Darke,George Bush,R,President,,14817,
Darke,Al Gore,D,President,,7741,
Darke,Ralph Nader,,President,,452,
Darke,Pat Buchanan,,President,,119,
Darke,Harry Browne,L,President,,75,
Darke,John Hagelin,N,President,,36,
Darke,Howard Phillips,,President,,27,
Darke,James Harris,,President,,0,
Defiance,George Bush,R,President,,9540,
Defiance,Al Gore,D,President,,6175,
Defiance,Ralph Nader,,President,,365,
Defiance,Pat Buchanan,,President,,99,
Defiance,Harry Browne,L,President,,34,
Defiance,John Hagelin,N,President,,15,
Defiance,Howard Phillips,,President,,14,
Defiance,James Harris,,President,,0,
Delaware,George Bush,R,President,,36639,
Delaware,Al Gore,D,President,,17134,
Delaware,Ralph Nader,,President,,1212,
Delaware,Harry Browne,L,President,,162,
Delaware,Pat Buchanan,,President,,162,
Delaware,John Hagelin,N,President,,60,
Delaware,Howard Phillips,,President,,34,
Delaware,James Harris,,President,,0,
Erie,Al Gore,D,President,,17732,
Erie,George Bush,R,President,,16105,
Erie,Ralph Nader,,President,,872,
Erie,Pat Buchanan,,President,,205,
Erie,Harry Browne,L,President,,57,
Erie,John Hagelin,N,President,,31,
Erie,Howard Phillips,,President,,13,
Erie,James Harris,,President,,0,
Fairfield,George Bush,R,President,,33523,
Fairfield,Al Gore,D,President,,19065,
Fairfield,Ralph Nader,,President,,1115,
Fairfield,Pat Buchanan,,President,,168,
Fairfield,Harry Browne,L,President,,138,
Fairfield,John Hagelin,N,President,,51,
Fairfield,Howard Phillips,,President,,34,
Fairfield,James Harris,,President,,0,
Fayette,George Bush,R,President,,5685,
Fayette,Al Gore,D,President,,3363,
Fayette,Ralph Nader,,President,,165,
Fayette,Pat Buchanan,,President,,37,
Fayette,Harry Browne,L,President,,11,
Fayette,John Hagelin,N,President,,9,
Fayette,Howard Phillips,,President,,8,
Fayette,James Harris,,President,,0,
Franklin,Al Gore,D,President,,202018,
Franklin,George Bush,R,President,,197862,
Franklin,Ralph Nader,,President,,10702,
Franklin,Harry Browne,L,President,,1427,
Franklin,Pat Buchanan,,President,,1114,
Franklin,John Hagelin,N,President,,625,
Franklin,Howard Phillips,,President,,324,
Franklin,James Harris,,President,,2,
Fulton,George Bush,R,President,,11546,
Fulton,Al Gore,D,President,,6805,
Fulton,Ralph Nader,,President,,376,
Fulton,Pat Buchanan,,President,,92,
Fulton,Harry Browne,L,President,,34,
Fulton,John Hagelin,N,President,,24,
Fulton,Howard Phillips,,President,,19,
Fulton,James Harris,,President,,0,
Gallia,George Bush,R,President,,7511,
Gallia,Al Gore,D,President,,4872,
Gallia,Ralph Nader,,President,,215,
Gallia,Pat Buchanan,,President,,97,
Gallia,Harry Browne,L,President,,29,
Gallia,John Hagelin,N,President,,28,
Gallia,Howard Phillips,,President,,24,
Gallia,James Harris,,President,,0,
Geauga,George Bush,R,President,,25417,
Geauga,Al Gore,D,President,,15327,
Geauga,Ralph Nader,,President,,1405,
Geauga,Pat Buchanan,,President,,236,
Geauga,Harry Browne,L,President,,153,
Geauga,John Hagelin,N,President,,38,
Geauga,Howard Phillips,,President,,24,
Geauga,James Harris,,President,,0,
Greene,George Bush,R,President,,37946,
Greene,Al Gore,D,President,,25059,
Greene,Ralph Nader,,President,,1592,
Greene,Harry Browne,L,President,,242,
Greene,Pat Buchanan,,President,,179,
Greene,John Hagelin,N,President,,136,
Greene,Howard Phillips,,President,,50,
Greene,James Harris,,President,,0,
Guernsey,George Bush,R,President,,8181,
Guernsey,Al Gore,D,President,,6643,
Guernsey,Ralph Nader,,President,,405,
Guernsey,Pat Buchanan,,President,,120,
Guernsey,Harry Browne,L,President,,36,
Guernsey,Howard Phillips,,President,,23,
Guernsey,John Hagelin,N,President,,22,
Guernsey,James Harris,,President,,0,
Hamilton,George Bush,R,President,,204175,
Hamilton,Al Gore,D,President,,161578,
Hamilton,Ralph Nader,,President,,9222,
Hamilton,Harry Browne,L,President,,1242,
Hamilton,Pat Buchanan,,President,,1084,
Hamilton,John Hagelin,N,President,,389,
Hamilton,Howard Phillips,,President,,208,
Hamilton,James Harris,,President,,1,
Hancock,George Bush,R,President,,20985,
Hancock,Al Gore,D,President,,8798,
Hancock,Ralph Nader,,President,,592,
Hancock,Pat Buchanan,,President,,119,
Hancock,Harry Browne,L,President,,84,
Hancock,John Hagelin,N,President,,21,
Hancock,Howard Phillips,,President,,18,
Hancock,James Harris,,President,,0,
Hardin,George Bush,R,President,,7124,
Hardin,Al Gore,D,President,,4557,
Hardin,Ralph Nader,,President,,243,
Hardin,Pat Buchanan,,President,,57,
Hardin,Harry Browne,L,President,,50,
Hardin,John Hagelin,N,President,,19,
Hardin,Howard Phillips,,President,,18,
Hardin,James Harris,,President,,0,
Harrison,George Bush,R,President,,3417,
Harrison,Al Gore,D,President,,3351,
Harrison,Ralph Nader,,President,,192,
Harrison,Pat Buchanan,,President,,151,
Harrison,Harry Browne,L,President,,23,
Harrison,John Hagelin,N,President,,14,
Harrison,Howard Phillips,,President,,13,
Harrison,James Harris,,President,,0,
Henry,George Bush,R,President,,8530,
Henry,Al Gore,D,President,,4367,
Henry,Ralph Nader,,President,,258,
Henry,Pat Buchanan,,President,,43,
Henry,Harry Browne,L,President,,32,
Henry,John Hagelin,N,President,,12,
Henry,Howard Phillips,,President,,10,
Henry,James Harris,,President,,0,
Highland,George Bush,R,President,,9728,
Highland,Al Gore,D,President,,5328,
Highland,Ralph Nader,,President,,245,
Highland,Pat Buchanan,,President,,77,
Highland,Harry Browne,L,President,,43,
Highland,John Hagelin,N,President,,15,
Highland,Howard Phillips,,President,,11,
Highland,James Harris,,President,,0,
Hocking,George Bush,R,President,,5702,
Hocking,Al Gore,D,President,,4474,
Hocking,Ralph Nader,,President,,291,
Hocking,Pat Buchanan,,President,,217,
Hocking,Harry Browne,L,President,,35,
Hocking,Howard Phillips,,President,,20,
Hocking,John Hagelin,N,President,,17,
Hocking,James Harris,,President,,0,
Holmes,George Bush,R,President,,6754,
Holmes,Al Gore,D,President,,2066,
Holmes,Ralph Nader,,President,,172,
Holmes,Pat Buchanan,,President,,96,
Holmes,Howard Phillips,,President,,25,
Holmes,Harry Browne,L,President,,21,
Holmes,John Hagelin,N,President,,11,
Holmes,James Harris,,President,,0,
Huron,George Bush,R,President,,12286,
Huron,Al Gore,D,President,,8183,
Huron,Ralph Nader,,President,,560,
Huron,Pat Buchanan,,President,,213,
Huron,Harry Browne,L,President,,60,
Huron,John Hagelin,N,President,,43,
Huron,Howard Phillips,,President,,15,
Huron,James Harris,,President,,0,
Jackson,George Bush,R,President,,6958,
Jackson,Al Gore,D,President,,5131,
Jackson,Ralph Nader,,President,,222,
Jackson,Pat Buchanan,,President,,90,
Jackson,John Hagelin,N,President,,47,
Jackson,Harry Browne,L,President,,33,
Jackson,Howard Phillips,,President,,9,
Jackson,James Harris,,President,,0,
Jefferson,Al Gore,D,President,,17488,
Jefferson,George Bush,R,President,,15038,
Jefferson,Pat Buchanan,,President,,1048,
Jefferson,Ralph Nader,,President,,897,
Jefferson,Harry Browne,L,President,,92,
Jefferson,John Hagelin,N,President,,39,
Jefferson,Howard Phillips,,President,,34,
Jefferson,James Harris,,President,,0,
Knox,George Bush,R,President,,13393,
Knox,Al Gore,D,President,,7133,
Knox,Ralph Nader,,President,,452,
Knox,Pat Buchanan,,President,,123,
Knox,Harry Browne,L,President,,76,
Knox,John Hagelin,N,President,,53,
Knox,Howard Phillips,,President,,30,
Knox,James Harris,,President,,0,
Lake,George Bush,R,President,,51747,
Lake,Al Gore,D,President,,46497,
Lake,Ralph Nader,,President,,3166,
Lake,Pat Buchanan,,President,,695,
Lake,Harry Browne,L,President,,269,
Lake,John Hagelin,N,President,,110,
Lake,Howard Phillips,,President,,80,
Lake,James Harris,,President,,0,
Lawrence,George Bush,R,President,,12531,
Lawrence,Al Gore,D,President,,11307,
Lawrence,Ralph Nader,,President,,402,
Lawrence,Pat Buchanan,,President,,124,
Lawrence,Harry Browne,L,President,,36,
Lawrence,John Hagelin,N,President,,28,
Lawrence,Howard Phillips,,President,,24,
Lawrence,James Harris,,President,,0,
Licking,George Bush,R,President,,37180,
Licking,Al Gore,D,President,,23196,
Licking,Ralph Nader,,President,,1498,
Licking,Pat Buchanan,,President,,264,
Licking,Harry Browne,L,President,,185,
Licking,John Hagelin,N,President,,83,
Licking,Howard Phillips,,President,,60,
Licking,James Harris,,President,,0,
Logan,George Bush,R,President,,11849,
Logan,Al Gore,D,President,,5945,
Logan,Ralph Nader,,President,,449,
Logan,Pat Buchanan,,President,,107,
Logan,Harry Browne,L,President,,55,
Logan,Howard Phillips,,President,,28,
Logan,John Hagelin,N,President,,21,
Logan,James Harris,,President,,1,
Lorain,Al Gore,D,President,,59809,
Lorain,George Bush,R,President,,47957,
Lorain,Ralph Nader,,President,,3183,
Lorain,Pat Buchanan,,President,,745,
Lorain,Harry Browne,L,President,,253,
Lorain,John Hagelin,N,President,,152,
Lorain,Howard Phillips,,President,,81,
Lorain,James Harris,,President,,0,
Lucas,Al Gore,D,President,,108344,
Lucas,George Bush,R,President,,73342,
Lucas,Ralph Nader,,President,,4227,
Lucas,Pat Buchanan,,President,,562,
Lucas,Harry Browne,L,President,,519,
Lucas,John Hagelin,N,President,,230,
Lucas,Howard Phillips,,President,,126,
Lucas,James Harris,,President,,0,
Madison,George Bush,R,President,,8892,
Madison,Al Gore,D,President,,5287,
Madison,Ralph Nader,,President,,299,
Madison,Pat Buchanan,,President,,75,
Madison,John Hagelin,N,President,,52,
Madison,Harry Browne,L,President,,44,
Madison,Howard Phillips,,President,,18,
Madison,James Harris,,President,,0,
Mahoning,Al Gore,D,President,,69212,
Mahoning,George Bush,R,President,,40460,
Mahoning,Ralph Nader,,President,,3322,
Mahoning,Pat Buchanan,,President,,815,
Mahoning,Harry Browne,L,President,,183,
Mahoning,John Hagelin,N,President,,75,
Mahoning,Howard Phillips,,President,,52,
Mahoning,James Harris,,President,,0,
Marion,George Bush,R,President,,13617,
Marion,Al Gore,D,President,,10370,
Marion,Ralph Nader,,President,,588,
Marion,Pat Buchanan,,President,,142,
Marion,Harry Browne,L,President,,46,
Marion,John Hagelin,N,President,,34,
Marion,Howard Phillips,,President,,18,
Marion,James Harris,,President,,0,
Medina,George Bush,R,President,,37349,
Medina,Al Gore,D,President,,26635,
Medina,Ralph Nader,,President,,1960,
Medina,Pat Buchanan,,President,,532,
Medina,Harry Browne,L,President,,198,
Medina,John Hagelin,N,President,,149,
Medina,Howard Phillips,,President,,60,
Medina,James Harris,,President,,0,
Meigs,George Bush,R,President,,5750,
Meigs,Al Gore,D,President,,3674,
Meigs,Ralph Nader,,President,,226,
Meigs,Pat Buchanan,,President,,76,
Meigs,Harry Browne,L,President,,33,
Meigs,John Hagelin,N,President,,25,
Meigs,Howard Phillips,,President,,11,
Meigs,James Harris,,President,,0,
Mercer,George Bush,R,President,,12485,
Mercer,Al Gore,D,President,,5212,
Mercer,Ralph Nader,,President,,392,
Mercer,Pat Buchanan,,President,,125,
Mercer,Harry Browne,L,President,,43,
Mercer,John Hagelin,N,President,,24,
Mercer,Howard Phillips,,President,,13,
Mercer,James Harris,,President,,0,
Miami,George Bush,R,President,,26037,
Miami,Al Gore,D,President,,15584,
Miami,Ralph Nader,,President,,879,
Miami,Harry Browne,L,President,,173,
Miami,Pat Buchanan,,President,,116,
Miami,John Hagelin,N,President,,37,
Miami,Howard Phillips,,President,,15,
Miami,James Harris,,President,,0,
Monroe,Al Gore,D,President,,3605,
Monroe,George Bush,R,President,,3145,
Monroe,Pat Buchanan,,President,,160,
Monroe,Ralph Nader,,President,,149,
Monroe,Harry Browne,L,President,,28,
Monroe,John Hagelin,N,President,,15,
Monroe,Howard Phillips,,President,,13,
Monroe,James Harris,,President,,0,
Montgomery,Al Gore,D,President,,114597,
Montgomery,George Bush,R,President,,109792,
Montgomery,Ralph Nader,,President,,4690,
Montgomery,Harry Browne,L,President,,827,
Montgomery,Pat Buchanan,,President,,594,
Montgomery,John Hagelin,N,President,,296,
Montgomery,Howard Phillips,,President,,191,
Montgomery,James Harris,,President,,0,
Morgan,George Bush,R,President,,3451,
Morgan,Al Gore,D,President,,2261,
Morgan,Ralph Nader,,President,,177,
Morgan,Pat Buchanan,,President,,72,
Morgan,Howard Phillips,,President,,12,
Morgan,Harry Browne,L,President,,11,
Morgan,John Hagelin,N,President,,9,
Morgan,James Harris,,President,,0,
Morrow,George Bush,R,President,,7842,
Morrow,Al Gore,D,President,,4529,
Morrow,Ralph Nader,,President,,305,
Morrow,Pat Buchanan,,President,,97,
Morrow,Harry Browne,L,President,,33,
Morrow,John Hagelin,N,President,,21,
Morrow,Howard Phillips,,President,,12,
Morrow,James Harris,,President,,0,
Muskingum,George Bush,R,President,,17995,
Muskingum,Al Gore,D,President,,13415,
Muskingum,Ralph Nader,,President,,882,
Muskingum,Pat Buchanan,,President,,176,
Muskingum,Harry Browne,L,President,,79,
Muskingum,John Hagelin,N,President,,39,
Muskingum,Howard Phillips,,President,,38,
Muskingum,James Harris,,President,,0,
Noble,George Bush,R,President,,3435,
Noble,Al Gore,D,President,,2296,
Noble,Ralph Nader,,President,,154,
Noble,Pat Buchanan,,President,,75,
Noble,Harry Browne,L,President,,13,
Noble,Howard Phillips,,President,,9,
Noble,John Hagelin,N,President,,6,
Noble,James Harris,,President,,0,
Ottawa,George Bush,R,President,,9917,
Ottawa,Al Gore,D,President,,9485,
Ottawa,Ralph Nader,,President,,432,
Ottawa,Pat Buchanan,,President,,71,
Ottawa,Harry Browne,L,President,,41,
Ottawa,John Hagelin,N,President,,17,
Ottawa,Howard Phillips,,President,,5,
Ottawa,James Harris,,President,,0,
Paulding,George Bush,R,President,,5210,
Paulding,Al Gore,D,President,,3384,
Paulding,Ralph Nader,,President,,242,
Paulding,Pat Buchanan,,President,,62,
Paulding,Harry Browne,L,President,,25,
Paulding,John Hagelin,N,President,,12,
Paulding,Howard Phillips,,President,,11,
Paulding,James Harris,,President,,0,
Perry,George Bush,R,President,,6440,
Perry,Al Gore,D,President,,5895,
Perry,Ralph Nader,,President,,334,
Perry,Pat Buchanan,,President,,97,
Perry,Harry Browne,L,President,,28,
Perry,John Hagelin,N,President,,17,
Perry,Howard Phillips,,President,,17,
Perry,James Harris,,President,,0,
Pickaway,George Bush,R,President,,10717,
Pickaway,Al Gore,D,President,,6598,
Pickaway,Ralph Nader,,President,,276,
Pickaway,Pat Buchanan,,President,,68,
Pickaway,Harry Browne,L,President,,45,
Pickaway,John Hagelin,N,President,,23,
Pickaway,Howard Phillips,,President,,13,
Pickaway,James Harris,,President,,0,
Pike,George Bush,R,President,,5333,
Pike,Al Gore,D,President,,4923,
Pike,Ralph Nader,,President,,176,
Pike,Pat Buchanan,,President,,66,
Pike,Harry Browne,L,President,,31,
Pike,John Hagelin,N,President,,23,
Pike,Howard Phillips,,President,,8,
Pike,James Harris,,President,,0,
Portage,Al Gore,D,President,,31446,
Portage,George Bush,R,President,,28271,
Portage,Ralph Nader,,President,,2340,
Portage,Pat Buchanan,,President,,446,
Portage,Harry Browne,L,President,,216,
Portage,John Hagelin,N,President,,120,
Portage,Howard Phillips,,President,,60,
Portage,James Harris,,President,,0,
Preble,George Bush,R,President,,11176,
Preble,Al Gore,D,President,,6375,
Preble,Ralph Nader,,President,,404,
Preble,Harry Browne,L,President,,95,
Preble,Pat Buchanan,,President,,82,
Preble,John Hagelin,N,President,,27,
Preble,Howard Phillips,,President,,7,
Preble,James Harris,,President,,0,
Putnam,George Bush,R,President,,12837,
Putnam,Al Gore,D,President,,4063,
Putnam,Ralph Nader,,President,,254,
Putnam,Pat Buchanan,,President,,124,
Putnam,Harry Browne,L,President,,45,
Putnam,John Hagelin,N,President,,15,
Putnam,Howard Phillips,,President,,6,
Putnam,James Harris,,President,,0,
Richland,George Bush,R,President,,30138,
Richland,Al Gore,D,President,,20572,
Richland,Ralph Nader,,President,,1306,
Richland,Pat Buchanan,,President,,533,
Richland,Harry Browne,L,President,,120,
Richland,Howard Phillips,,President,,57,
Richland,John Hagelin,N,President,,53,
Richland,James Harris,,President,,0,
Ross,George Bush,R,President,,13706,
Ross,Al Gore,D,President,,11662,
Ross,Ralph Nader,,President,,421,
Ross,Pat Buchanan,,President,,122,
Ross,Harry Browne,L,President,,60,
Ross,John Hagelin,N,President,,30,
Ross,Howard Phillips,,President,,15,
Ross,James Harris,,President,,0,
Sandusky,George Bush,R,President,,13699,
Sandusky,Al Gore,D,President,,11146,
Sandusky,Ralph Nader,,President,,587,
Sandusky,Pat Buchanan,,President,,157,
Sandusky,Harry Browne,L,President,,86,
Sandusky,John Hagelin,N,President,,39,
Sandusky,Howard Phillips,,President,,30,
Sandusky,James Harris,,President,,0,
Scioto,George Bush,R,President,,15022,
Scioto,Al Gore,D,President,,13997,
Scioto,Ralph Nader,,President,,590,
Scioto,Pat Buchanan,,President,,159,
Scioto,Harry Browne,L,President,,85,
Scioto,Howard Phillips,,President,,53,
Scioto,John Hagelin,N,President,,39,
Scioto,James Harris,,President,,0,
Seneca,George Bush,R,President,,13863,
Seneca,Al Gore,D,President,,9512,
Seneca,Ralph Nader,,President,,666,
Seneca,Pat Buchanan,,President,,183,
Seneca,Harry Browne,L,President,,55,
Seneca,John Hagelin,N,President,,53,
Seneca,Howard Phillips,,President,,19,
Seneca,James Harris,,President,,0,
Shelby,George Bush,R,President,,12476,
Shelby,Al Gore,D,President,,6593,
Shelby,Ralph Nader,,President,,392,
Shelby,Pat Buchanan,,President,,115,
Shelby,Harry Browne,L,President,,50,
Shelby,John Hagelin,N,President,,27,
Shelby,Howard Phillips,,President,,17,
Shelby,James Harris,,President,,0,
Stark,George Bush,R,President,,78153,
Stark,Al Gore,D,President,,75308,
Stark,Ralph Nader,,President,,4032,
Stark,Pat Buchanan,,President,,1499,
Stark,Harry Browne,L,President,,425,
Stark,John Hagelin,N,President,,226,
Stark,Howard Phillips,,President,,201,
Stark,James Harris,,President,,0,
Summit,Al Gore,D,President,,119759,
Summit,George Bush,R,President,,96721,
Summit,Ralph Nader,,President,,5955,
Summit,Pat Buchanan,,President,,1363,
Summit,Harry Browne,L,President,,626,
Summit,John Hagelin,N,President,,264,
Summit,Howard Phillips,,President,,150,
Summit,James Harris,,President,,1,
Trumbull,Al Gore,D,President,,57643,
Trumbull,George Bush,R,President,,34654,
Trumbull,Ralph Nader,,President,,2749,
Trumbull,Pat Buchanan,,President,,844,
Trumbull,Harry Browne,L,President,,200,
Trumbull,John Hagelin,N,President,,95,
Trumbull,Howard Phillips,,President,,54,
Trumbull,James Harris,,President,,0,
Tuscarawas,George Bush,R,President,,19549,
Tuscarawas,Al Gore,D,President,,15879,
Tuscarawas,Ralph Nader,,President,,1061,
Tuscarawas,Pat Buchanan,,President,,420,
Tuscarawas,Harry Browne,L,President,,95,
Tuscarawas,John Hagelin,N,President,,80,
Tuscarawas,Howard Phillips,,President,,34,
Tuscarawas,James Harris,,President,,0,
Union,George Bush,R,President,,11502,
Union,Al Gore,D,President,,5040,
Union,Ralph Nader,,President,,336,
Union,Pat Buchanan,,President,,64,
Union,Harry Browne,L,President,,50,
Union,Howard Phillips,,President,,21,
Union,John Hagelin,N,President,,11,
Union,James Harris,,President,,0,
Van Wert,George Bush,R,President,,8679,
Van Wert,Al Gore,D,President,,4209,
Van Wert,Ralph Nader,,President,,216,
Van Wert,Pat Buchanan,,President,,62,
Van Wert,Harry Browne,L,President,,39,
Van Wert,John Hagelin,N,President,,11,
Van Wert,Howard Phillips,,President,,3,
Van Wert,James Harris,,President,,0,
Vinton,George Bush,R,President,,2720,
Vinton,Al Gore,D,President,,2037,
Vinton,Ralph Nader,,President,,110,
Vinton,Pat Buchanan,,President,,42,
Vinton,John Hagelin,N,President,,15,
Vinton,Harry Browne,L,President,,13,
Vinton,Howard Phillips,,President,,9,
Vinton,James Harris,,President,,0,
Warren,George Bush,R,President,,48318,
Warren,Al Gore,D,President,,19142,
Warren,Ralph Nader,,President,,1067,
Warren,Harry Browne,L,President,,248,
Warren,Pat Buchanan,,President,,207,
Warren,John Hagelin,N,President,,59,
Warren,Howard Phillips,,President,,37,
Warren,James Harris,,President,,0,
Washington,George Bush,R,President,,15342,
Washington,Al Gore,D,President,,10383,
Washington,Ralph Nader,,President,,571,
Washington,Pat Buchanan,,President,,108,
Washington,Harry Browne,L,President,,77,
Washington,John Hagelin,N,President,,22,
Washington,Howard Phillips,,President,,12,
Washington,James Harris,,President,,0,
Wayne,George Bush,R,President,,25901,
Wayne,Al Gore,D,President,,14779,
Wayne,Ralph Nader,,President,,1171,
Wayne,Pat Buchanan,,President,,398,
Wayne,Harry Browne,L,President,,112,
Wayne,John Hagelin,N,President,,44,
Wayne,Howard Phillips,,President,,31,
Wayne,James Harris,,President,,0,
Williams,George Bush,R,President,,9941,
Williams,Al Gore,D,President,,5454,
Williams,Ralph Nader,,President,,347,
Williams,Pat Buchanan,,President,,101,
Williams,Harry Browne,L,President,,36,
Williams,John Hagelin,N,President,,24,
Williams,Howard Phillips,,President,,16,
Williams,James Harris,,President,,0,
Wood,George Bush,R,President,,27504,
Wood,Al Gore,D,President,,22687,
Wood,Ralph Nader,,President,,1536,
Wood,Pat Buchanan,,President,,210,
Wood,Harry Browne,L,President,,134,
Wood,John Hagelin,N,President,,90,
Wood,Howard Phillips,,President,,33,
Wood,James Harris,,President,,0,
Wyandot,George Bush,R,President,,6113,
Wyandot,Al Gore,D,President,,3397,
Wyandot,Ralph Nader,,President,,191,
Wyandot,Pat Buchanan,,President,,70,
Wyandot,Harry Browne,L,President,,24,
Wyandot,John Hagelin,N,President,,19,
Wyandot,Howard Phillips,,President,,13,
Wyandot,James Harris,,President,,0,
Adams,Mike Dewine,R,U.S. Senate,,6508,60.67%
Adams,Ted Celeste,D,U.S. Senate,,2949,27.49%
Adams,John Mcalister,L,U.S. Senate,,238,2.22%
Adams,John Eastman,N,U.S. Senate,,187,1.74%
Adams,Michael Fitzsimmons,,U.S. Senate,,0,0.00%
Adams,Patrick Flower,,U.S. Senate,,0,0.00%
