county,candidate,party,office,district,votes
Hardin,Mitt Romney,Republican,President,,7489
Hardin,Barack Obama,Democratic,President,,4619
Hardin,Gary Johnson,Libertarian,President,,172
Hardin,Jill Stein,Green,President,,68
Hardin,Richard Duncan,Independent,President,,62
Hardin,Virgil Goode,Constitution,President,,26
Hardin,Stewart Alexander,Socialist,President,,12
Hardin,Mike Vargo,,President,,1
Hardin,Susan Daniels,,President,,0
Hardin,Nelson Keyton,,President,,0
Hardin,Jill Reed,,President,,0
Hardin,Platt Robertson,,President,,0
Hardin,Randall Terry,,President,,0
Harrison,Mitt Romney,Republican,President,,4019
Harrison,Barack Obama,Democratic,President,,2950
Harrison,Gary Johnson,Libertarian,President,,62
Harrison,Jill Stein,Green,President,,47
Harrison,Richard Duncan,Independent,President,,38
Harrison,Virgil Goode,Constitution,President,,15
Harrison,Stewart Alexander,Socialist,President,,10
Harrison,Susan Daniels,,President,,0
Harrison,Nelson Keyton,,President,,0
Harrison,Jill Reed,,President,,0
Harrison,Platt Robertson,,President,,0
Harrison,Randall Terry,,President,,0
Harrison,Mike Vargo,,President,,0
Henry,Mitt Romney,Republican,President,,8257
Henry,Barack Obama,Democratic,President,,5658
Henry,Gary Johnson,Libertarian,President,,169
Henry,Jill Stein,Green,President,,55
Henry,Richard Duncan,Independent,President,,53
Henry,Virgil Goode,Constitution,President,,31
Henry,Stewart Alexander,Socialist,President,,13
Henry,Susan Daniels,,President,,0
Henry,Nelson Keyton,,President,,0
Henry,Jill Reed,,President,,0
Henry,Platt Robertson,,President,,0
Henry,Randall Terry,,President,,0
Henry,Mike Vargo,,President,,0
Highland,Mitt Romney,Republican,President,,11413
Highland,Barack Obama,Democratic,President,,6054
Highland,Gary Johnson,Libertarian,President,,176
Highland,Richard Duncan,Independent,President,,85
Highland,Jill Stein,Green,President,,67
Highland,Virgil Goode,Constitution,President,,37
Highland,Stewart Alexander,Socialist,President,,15
Highland,Susan Daniels,,President,,0
Highland,Nelson Keyton,,President,,0
Highland,Jill Reed,,President,,0
Highland,Platt Robertson,,President,,0
Highland,Randall Terry,,President,,0
Highland,Mike Vargo,,President,,0
Hocking,Mitt Romney,Republican,President,,6285
Hocking,Barack Obama,Democratic,President,,6157
Hocking,Gary Johnson,Libertarian,President,,133
Hocking,Jill Stein,Green,President,,57
Hocking,Richard Duncan,Independent,President,,49
Hocking,Virgil Goode,Constitution,President,,34
Hocking,Stewart Alexander,Socialist,President,,13
Hocking,Susan Daniels,,President,,0
Hocking,Nelson Keyton,,President,,0
Hocking,Jill Reed,,President,,0
Hocking,Platt Robertson,,President,,0
Hocking,Randall Terry,,President,,0
Hocking,Mike Vargo,,President,,0
Holmes,Mitt Romney,Republican,President,,8702
Holmes,Barack Obama,Democratic,President,,2608
Holmes,Gary Johnson,Libertarian,President,,93
Holmes,Richard Duncan,Independent,President,,45
Holmes,Jill Stein,Green,President,,43
Holmes,Virgil Goode,Constitution,President,,33
Holmes,Stewart Alexander,Socialist,President,,12
Holmes,Susan Daniels,,President,,0
Holmes,Nelson Keyton,,President,,0
Holmes,Jill Reed,,President,,0
Holmes,Platt Robertson,,President,,0
Holmes,Randall Terry,,President,,0
Holmes,Mike Vargo,,President,,0
Huron,Mitt Romney,Republican,President,,13060
Huron,Barack Obama,Democratic,President,,11006
Huron,Gary Johnson,Libertarian,President,,260
Huron,Richard Duncan,Independent,President,,115
Huron,Jill Stein,Green,President,,115
Huron,Virgil Goode,Constitution,President,,76
Huron,Stewart Alexander,Socialist,President,,31
Huron,Susan Daniels,,President,,0
Huron,Nelson Keyton,,President,,0
Huron,Jill Reed,,President,,0
Huron,Platt Robertson,,President,,0
Huron,Randall Terry,,President,,0
Huron,Mike Vargo,,President,,0
Jackson,Mitt Romney,Republican,President,,7904
Jackson,Barack Obama,Democratic,President,,5166
Jackson,Jill Stein,Green,President,,101
Jackson,Gary Johnson,Libertarian,President,,94
Jackson,Richard Duncan,Independent,President,,64
Jackson,Virgil Goode,Constitution,President,,34
Jackson,Stewart Alexander,Socialist,President,,18
Jackson,Susan Daniels,,President,,0
Jackson,Nelson Keyton,,President,,0
Jackson,Jill Reed,,President,,0
Jackson,Platt Robertson,,President,,0
Jackson,Randall Terry,,President,,0
Jackson,Mike Vargo,,President,,0
Jefferson,Mitt Romney,Republican,President,,17034
Jefferson,Barack Obama,Democratic,President,,15385
Jefferson,Gary Johnson,Libertarian,President,,248
Jefferson,Jill Stein,Green,President,,157
Jefferson,Richard Duncan,Independent,President,,141
Jefferson,Virgil Goode,Constitution,President,,65
Jefferson,Stewart Alexander,Socialist,President,,39
Jefferson,Susan Daniels,,President,,0
Jefferson,Nelson Keyton,,President,,0
Jefferson,Jill Reed,,President,,0
Jefferson,Platt Robertson,,President,,0
Jefferson,Randall Terry,,President,,0
Jefferson,Mike Vargo,,President,,0
Knox,Mitt Romney,Republican,President,,17266
Knox,Barack Obama,Democratic,President,,10470
Knox,Gary Johnson,Libertarian,President,,306
Knox,Jill Stein,Green,President,,114
Knox,Richard Duncan,Independent,President,,101
Knox,Virgil Goode,Constitution,President,,74
Knox,Stewart Alexander,Socialist,President,,14
Knox,Susan Daniels,,President,,0
Knox,Nelson Keyton,,President,,0
Knox,Jill Reed,,President,,0
Knox,Platt Robertson,,President,,0
Knox,Randall Terry,,President,,0
Knox,Mike Vargo,,President,,0
Lake,Mitt Romney,Republican,President,,58744
Lake,Barack Obama,Democratic,President,,57680
Lake,Gary Johnson,Libertarian,President,,1073
Lake,Jill Stein,Green,President,,436
Lake,Richard Duncan,Independent,President,,271
Lake,Virgil Goode,Constitution,President,,153
Lake,Stewart Alexander,Socialist,President,,46
Lake,Susan Daniels,,President,,0
Lake,Nelson Keyton,,President,,0
Lake,Jill Reed,,President,,0
Lake,Platt Robertson,,President,,0
Lake,Randall Terry,,President,,0
Lake,Mike Vargo,,President,,0
Lawrence,Mitt Romney,Republican,President,,14651
Lawrence,Barack Obama,Democratic,President,,10744
Lawrence,Gary Johnson,Libertarian,President,,171
Lawrence,Richard Duncan,Independent,President,,107
Lawrence,Jill Stein,Green,President,,93
Lawrence,Virgil Goode,Constitution,President,,49
Lawrence,Stewart Alexander,Socialist,President,,18
Lawrence,Susan Daniels,,President,,0
Lawrence,Nelson Keyton,,President,,0
Lawrence,Jill Reed,,President,,0
Lawrence,Platt Robertson,,President,,0
Lawrence,Randall Terry,,President,,0
Lawrence,Mike Vargo,,President,,0
Licking,Mitt Romney,Republican,President,,45503
Licking,Barack Obama,Democratic,President,,34201
Licking,Gary Johnson,Libertarian,President,,817
Licking,Jill Stein,Green,President,,311
Licking,Richard Duncan,Independent,President,,287
Licking,Virgil Goode,Constitution,President,,200
Licking,Stewart Alexander,Socialist,President,,68
Licking,Mike Vargo,,President,,3
Licking,Susan Daniels,,President,,0
Licking,Nelson Keyton,,President,,0
Licking,Jill Reed,,President,,0
Licking,Platt Robertson,,President,,0
Licking,Randall Terry,,President,,0
Logan,Mitt Romney,Republican,President,,13633
Logan,Barack Obama,Democratic,President,,7062
Logan,Gary Johnson,Libertarian,President,,214
Logan,Jill Stein,Green,President,,80
Logan,Richard Duncan,Independent,President,,76
Logan,Virgil Goode,Constitution,President,,58
Logan,Stewart Alexander,Socialist,President,,14
Logan,Susan Daniels,,President,,0
Logan,Nelson Keyton,,President,,0
Logan,Jill Reed,,President,,0
Logan,Platt Robertson,,President,,0
Logan,Randall Terry,,President,,0
Logan,Mike Vargo,,President,,0
Lorain,Barack Obama,Democratic,President,,81464
Lorain,Mitt Romney,Republican,President,,59405
Lorain,Gary Johnson,Libertarian,President,,1275
Lorain,Jill Stein,Green,President,,554
Lorain,Richard Duncan,Independent,President,,268
Lorain,Virgil Goode,Constitution,President,,215
Lorain,Stewart Alexander,Socialist,President,,71
Lorain,Randall Terry,,President,,1
Lorain,Susan Daniels,,President,,0
Lorain,Nelson Keyton,,President,,0
Lorain,Jill Reed,,President,,0
Lorain,Platt Robertson,,President,,0
Lorain,Mike Vargo,,President,,0
Lucas,Barack Obama,Democratic,President,,136616
Lucas,Mitt Romney,Republican,President,,69940
Lucas,Gary Johnson,Libertarian,President,,2318
Lucas,Jill Stein,Green,President,,652
Lucas,Richard Duncan,Independent,President,,325
Lucas,Virgil Goode,Constitution,President,,238
Lucas,Stewart Alexander,Socialist,President,,128
Lucas,Jill Reed,,President,,1
Lucas,Susan Daniels,,President,,0
Lucas,Nelson Keyton,,President,,0
Lucas,Platt Robertson,,President,,0
Lucas,Randall Terry,,President,,0
Lucas,Mike Vargo,,President,,0
Madison,Mitt Romney,Republican,President,,10342
Madison,Barack Obama,Democratic,President,,6845
Madison,Gary Johnson,Libertarian,President,,167
Madison,Jill Stein,Green,President,,67
Madison,Virgil Goode,Constitution,President,,48
Madison,Richard Duncan,Independent,President,,44
Madison,Stewart Alexander,Socialist,President,,4
Madison,Susan Daniels,,President,,0
Madison,Nelson Keyton,,President,,0
Madison,Jill Reed,,President,,0
Madison,Platt Robertson,,President,,0
Madison,Randall Terry,,President,,0
Madison,Mike Vargo,,President,,0
Mahoning,Barack Obama,Democratic,President,,77059
Mahoning,Mitt Romney,Republican,President,,42641
Mahoning,Gary Johnson,Libertarian,President,,744
Mahoning,Jill Stein,Green,President,,370
Mahoning,Richard Duncan,Independent,President,,299
Mahoning,Virgil Goode,Constitution,President,,140
Mahoning,Stewart Alexander,Socialist,President,,55
Mahoning,Jill Reed,,President,,2
Mahoning,Susan Daniels,,President,,0
Mahoning,Nelson Keyton,,President,,0
Mahoning,Platt Robertson,,President,,0
Mahoning,Randall Terry,,President,,0
Mahoning,Mike Vargo,,President,,0
Marion,Mitt Romney,Republican,President,,14265
Marion,Barack Obama,Democratic,President,,12504
Marion,Gary Johnson,Libertarian,President,,285
Marion,Jill Stein,Green,President,,132
Marion,Richard Duncan,Independent,President,,99
Marion,Virgil Goode,Constitution,President,,38
Marion,Stewart Alexander,Socialist,President,,29
Marion,Susan Daniels,,President,,0
Marion,Nelson Keyton,,President,,0
Marion,Jill Reed,,President,,0
Marion,Platt Robertson,,President,,0
Marion,Randall Terry,,President,,0
Marion,Mike Vargo,,President,,0
Medina,Mitt Romney,Republican,President,,50418
Medina,Barack Obama,Democratic,President,,38785
Medina,Gary Johnson,Libertarian,President,,838
Medina,Jill Stein,Green,President,,326
Medina,Richard Duncan,Independent,President,,240
Medina,Virgil Goode,Constitution,President,,132
